 ,0,0,na,na,na
Idaho State University,10565,6279,Idaho,Small City,public
Illinois College,956,950,Illinois,Town,na
Illinois Institute of Technology,2895,2631,Illinois,Large City,na
Illinois State University,18336,17165,Illinois,Suburb,na
Illinois Wesleyan University,1650,1646,Illinois,Small City,na
Immaculata University,1481,885,Pennsylvania,Suburb,na
Indiana State University,11578,9369,Indiana,Small City,public
Indiana University - Bloomington,33427,32212,Indiana,Small City,public
Indiana University - East,3292,1887,Indiana,Rural,public
Indiana University - Kokomo,2877,2215,Indiana,Small City,na
Indiana University - Northwest,3700,2608,Indiana,Small City,na
Indiana University of Pennsylvania - Main Campus,10255,9526,Pennsylvania,Town,na
Indiana University - Purdue University - Fort Wayne,9952,5913,Indiana,Large City,public
Indiana University - Purdue University - Indianapolis,21615,17521,Indiana,Large City,na
Indiana University - South Bend,4877,3767,Indiana,Midsize City,na
Indiana University - Southeast,4824,3218,Indiana,Suburb,na
Indiana Wesleyan University,2803,2634,Indiana,Town,private
Institute of American Indian and Alaska Native Culture and Arts Development,612,264,New Mexico,Rural,na
Inter American University of Puerto Rico - Aguadilla,3973,3375,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - Arecibo,3902,3376,Puerto Rico,Small City,private
Inter American University of Puerto Rico - Barranquitas,1789,1605,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - Metro,6264,4997,Puerto Rico,Large City,na
Inter American University of Puerto Rico - Ponce,4786,4098,Puerto Rico,Suburb,na
Inter American University of Puerto Rico - San German,4116,3693,Puerto Rico,Small City,private
Iona College,3177,2949,New York,Suburb,private
Iowa State University,30573,28743,Iowa,Small City,public
Iowa Wesleyan University,625,550,Iowa,Town,private
Ithaca College,6062,5936,New York,Suburb,na
Jackson State University,6498,5935,Mississippi,Midsize City,na
Jacksonville State University,7492,5523,Alabama,Small City,na
Jacksonville University,2878,2180,Florida,Large City,na
James Madison University,19972,18905,Virginia,Small City,na
University of Jamestown,916,871,North Dakota,Town,na
Jarvis Christian College,908,835,Texas,Rural,na
John Brown University,1972,1489,Arkansas,Town,na
John Carroll University,3079,2987,Ohio,Suburb,private
Johns Hopkins University,6106,5668,Maryland,Large City,na
Johnson & Wales University - Providence,7717,7267,Rhode Island,Midsize City,private
Johnson C Smith University,1395,1329,North Carolina,Large City,na
Johnson State College,1377,882,Vermont,Rural,na
Judson College,313,230,Alabama,Rural,na
Judson University,1078,761,Illinois,Midsize City,private
Juniata College,1487,1400,Pennsylvania,Town,na
Kalamazoo College,1434,1427,Michigan,Small City,na
Kansas State University,18484,16770,Kansas,Small City,na
Kansas Wesleyan University,693,631,Kansas,Town,na
